geoid,tvdma
48223,"Dallas - Ft. Worth, TX DMA"
36001,"Albany - Schenectady - Troy, NY - MA - VT DMA"
48225,"Tyler - Longview (Lufkin&Nacogdoches), TX DMA"
39111,"Wheeling - Steubenville, WV - OH DMA"
20165,"Wichita - Hutchinson Plus, KS - NE DMA"
18107,"Indianapolis, IN DMA"
20187,"Wichita - Hutchinson Plus, KS - NE DMA"
21129,"Lexington, KY DMA"
27071,"Duluth - Superior, MN - MI - WI DMA"
48029,"San Antonio, TX DMA"
08013,"Denver, CO - NE - NV - WY DMA"
47089,"Knoxville, TN - KY DMA"
40097,"Tulsa, OK - KS DMA"
27165,"Mankato, MN - IA DMA"
16013,"Twin Falls, ID DMA"
22053,"Lafayette, LA DMA"
46119,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
08031,"Denver, CO - NE - NV - WY DMA"
40029,"Sherman - Ada, OK - TX DMA"
30011,"Rapid City, SD - MT - NE - WY DMA"
48461,"Odessa - Midland, TX DMA"
18051,"Evansville, IN - IL - KY DMA"
31105,"Denver, CO - NE - NV - WY DMA"
17093,"Chicago, IL - IN DMA"
11001,"Washington, DC - MD - PA - VA - WV DMA"
08085,"Grand Junction - Montrose, CO DMA"
27171,"Minneapolis - St. Paul, MN - WI DMA"
55059,"Milwaukee, WI DMA"
08037,"Denver, CO - NE - NV - WY DMA"
06075,"San Francisco - Oakland - San Jose, CA DMA"
08113,"Denver, CO - NE - NV - WY DMA"
02020,"Anchorage, AK DMA"
12109,"Jacksonville, FL - Brunswick, GA DMA"
28019,"Columbus - Tupelo - West Point, MS - AL DMA"
29079,"Kansas City, MO - KS DMA"
26085,"Traverse City - Cadillac, MI DMA"
26139,"Grand Rapids - Kalamazoo - Battle Creek, MI DMA"
17031,"Chicago, IL - IN DMA"
17059,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
45047,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
20059,"Kansas City, MO - KS DMA"
27027,"Fargo - Valley City, ND - MN DMA"
47075,"Memphis, TN - AR- MS - MO DMA"
49003,"Salt Lake City, UT - ID - WY DMA"
28139,"Memphis, TN - AR- MS - MO DMA"
54051,"Wheeling - Steubenville, WV - OH DMA"
54035,"Charleston - Huntington, WV - KY - OH DMA"
16039,"Boise, ID - OR DMA"
24005,"Baltimore, MD DMA"
38005,"Fargo - Valley City, ND - MN DMA"
29163,"St. Louis, MO - IL DMA"
39087,"Charleston - Huntington, WV - KY - OH DMA"
29201,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
39001,"Cincinnati, OH -IN - KY DMA"
48143,"Dallas - Ft. Worth, TX DMA"
13137,"Atlanta, GA - AL - NC DMA"
13319,"Macon, GA DMA"
54061,"Pittsburgh, PA - MD- WV DMA"
39033,"Columbus, OH DMA"
12027,"Ft. Myers - Naples, FL DMA"
09011,"Hartford & New Haven, CT DMA"
39059,"Wheeling - Steubenville, WV - OH DMA"
26015,"Grand Rapids - Kalamazoo - Battle Creek, MI DMA"
29209,"Springfield, MO - AR DMA"
51760,"Richmond - Petersburg, VA DMA"
37169,"Greensboro - H.Point - W.Salem, NC - VA DMA"
19039,"Des Moines - Ames, IA - MO DMA"
19065,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
06041,"San Francisco - Oakland - San Jose, CA DMA"
48381,"Amarillo, TX -NM - OK DMA"
48401,"Tyler - Longview (Lufkin&Nacogdoches), TX DMA"
19181,"Des Moines - Ames, IA - MO DMA"
39161,"Ft. Wayne, IN - OH DMA"
12043,"Ft. Myers - Naples, FL DMA"
13199,"Atlanta, GA - AL - NC DMA"
08023,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
48099,"Waco - Temple - Bryan, TX DMA"
19001,"Des Moines - Ames, IA - MO DMA"
13053,"Columbus, GA - AL DMA"
06043,"Fresno - Visalia, CA DMA"
29089,"Columbia - Jefferson City, MO DMA"
41047,"Portland, OR - WA DMA"
55079,"Milwaukee, WI DMA"
27139,"Minneapolis - St. Paul, MN - WI DMA"
39129,"Columbus, OH DMA"
51145,"Richmond - Petersburg, VA DMA"
08014,"Denver, CO - NE - NV - WY DMA"
47099,"Nashville, TN - KY DMA"
26009,"Traverse City - Cadillac, MI DMA"
45069,"Florence - Myrtle Beach, SC - NC DMA"
16009,"Spokane, WA - ID - MT - OR DMA"
17103,"Rockford, IL DMA"
31127,"Omaha, NE - IA - MO DMA"
37031,"Greenville - New Bern - Washington, NC DMA"
20149,"Topeka, KS DMA"
26075,"Lansing, MI DMA"
48091,"San Antonio, TX DMA"
25019,"Boston, MA - NH DMA"
45009,"Augusta, GA - SC DMA"
48007,"Corpus Christi, TX DMA"
13019,"Albany, GA DMA"
18165,"Terre Haute, IN - IL DMA"
26143,"Traverse City - Cadillac, MI DMA"
37005,"Greensboro - H.Point - W.Salem, NC - VA DMA"
06035,"Reno, NV - CA DMA"
51610,"Washington, DC - MD - PA - VA - WV DMA"
12081,"Tampa - St. Petersburg - Sarasota, FL DMA"
39119,"Zanesville, OH DMA"
08015,"Denver, CO - NE - NV - WY DMA"
08025,"Colorado Springs - Pueblo, CO DMA"
08043,"Colorado Springs - Pueblo, CO DMA"
28109,"New Orleans, LA - MS DMA"
28111,"Hattiesburg - Laurel, MS DMA"
31041,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
12013,"Panama City, FL DMA"
21117,"Cincinnati, OH -IN - KY DMA"
19037,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
17037,"Chicago, IL - IN DMA"
19081,"Rochester - Mason City - Austin, MN - IA DMA"
38089,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
26095,"Traverse City - Cadillac, MI DMA"
40019,"Sherman - Ada, OK - TX DMA"
37139,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
35055,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
28011,"Greenwood - Greenville, MS DMA"
32023,"Las Vegas, NV DMA"
47073,"Tri - Cities, TN - VA - KY DMA"
38011,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
42057,"Washington, DC - MD - PA - VA - WV DMA"
22055,"Lafayette, LA DMA"
48237,"Dallas - Ft. Worth, TX DMA"
17175,"Peoria - Bloomington, IL DMA"
40055,"Oklahoma City, OK DMA"
48211,"Amarillo, TX -NM - OK DMA"
16069,"Spokane, WA - ID - MT - OR DMA"
46129,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
06055,"San Francisco - Oakland - San Jose, CA DMA"
40033,"Wichita Falls & Lawton, TX - OK DMA"
29221,"St. Louis, MO - IL DMA"
36011,"Syracuse, NY DMA*"
48417,"Abilene - Sweetwater, TX DMA"
48407,"Houston, TX DMA"
19061,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
51075,"Richmond - Petersburg, VA DMA"
20181,"Wichita - Hutchinson Plus, KS - NE DMA"
39139,"Cleveland, OH DMA"
17001,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
39021,"Dayton, OH - IN DMA"
33019,"Burlington, VT - Plattsburgh, NY DMA"
17075,"Champaign - Springfield - Decatur, IL DMA"
19157,"Des Moines - Ames, IA - MO DMA"
39169,"Cleveland, OH DMA"
13113,"Atlanta, GA - AL - NC DMA"
13141,"Macon, GA DMA"
48259,"San Antonio, TX DMA"
36039,"Albany - Schenectady - Troy, NY - MA - VT DMA"
51137,"Richmond - Petersburg, VA DMA"
40089,"Shreveport, LA - AR - OK - TX DMA"
13277,"Albany, GA DMA"
31025,"Omaha, NE - IA - MO DMA"
46077,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
56009,"Casper - Riverton, WY DMA"
36043,"Utica, NY DMA*"
38047,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
26053,"Duluth - Superior, MN - MI - WI DMA"
27005,"Fargo - Valley City, ND - MN DMA"
01095,"Huntsville - Decatur - Florence, AL - TN DMA"
47173,"Knoxville, TN - KY DMA"
54057,"Washington, DC - MD - PA - VA - WV DMA"
55003,"Duluth - Superior, MN - MI - WI DMA"
17053,"Champaign - Springfield - Decatur, IL DMA"
38029,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
06089,"Chico - Redding, CA DMA"
22113,"Lafayette, LA DMA"
05121,"Jonesboro, AR - MO DMA"
55085,"Wausau - Rhinelander, WI DMA"
22035,"Monroe - El Dorado, LA - AR DMA"
22037,"Baton Rouge, LA - MS DMA"
22087,"New Orleans, LA - MS DMA"
48481,"Houston, TX DMA"
02198,"Unmeasured, AK DMA"
02195,"Unmeasured, AK DMA"
48153,"Lubbock, TX DMA"
02275,"Unmeasured, AK DMA"
21151,"Lexington, KY DMA"
47009,"Knoxville, TN - KY DMA"
30031,"Butte - Bozeman, MT DMA"
45031,"Florence - Myrtle Beach, SC - NC DMA"
01053,"Mobile, AL - Pensacola, FL - MS DMA"
13143,"Atlanta, GA - AL - NC DMA"
20001,"Joplin - Pittsburg, MO - KS - OK DMA"
17041,"Champaign - Springfield - Decatur, IL DMA"
51079,"Charlottesville, VA DMA"
55137,"Green Bay - Appleton, WI - MI DMA"
05065,"Jonesboro, AR - MO DMA"
06053,"Monterey - Salinas, CA DMA"
35017,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
29131,"Columbia - Jefferson City, MO DMA"
37193,"Greensboro - H.Point - W.Salem, NC - VA DMA"
02110,"Juneau, AK DMA"
29165,"Kansas City, MO - KS DMA"
29021,"St. Joseph, MO - KS DMA"
01083,"Huntsville - Decatur - Florence, AL - TN DMA"
18065,"Indianapolis, IN DMA"
31143,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
39123,"Toledo, OH - MI DMA"
27107,"Fargo - Valley City, ND - MN DMA"
19165,"Omaha, NE - IA - MO DMA"
24013,"Baltimore, MD DMA"
19011,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
21159,"Charleston - Huntington, WV - KY - OH DMA"
27025,"Minneapolis - St. Paul, MN - WI DMA"
21189,"Lexington, KY DMA"
42015,"Wilkes Barre - Scranton, PA DMA"
54029,"Wheeling - Steubenville, WV - OH DMA"
29051,"Columbia - Jefferson City, MO DMA"
26021,"South Bend - Elkhart, IN - MI DMA"
42061,"Johnstown - Altoona, PA DMA"
31045,"Denver, CO - NE - NV - WY DMA"
51141,"Greensboro - H.Point - W.Salem, NC - VA DMA"
26119,"Traverse City - Cadillac, MI DMA"
26135,"Traverse City - Cadillac, MI DMA"
35007,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
17163,"St. Louis, MO - IL DMA"
17189,"St. Louis, MO - IL DMA"
42009,"Johnstown - Altoona, PA DMA"
05127,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
20099,"Joplin - Pittsburg, MO - KS - OK DMA"
42073,"Pittsburgh, PA - MD- WV DMA"
39067,"Wheeling - Steubenville, WV - OH DMA"
37003,"Charlotte, NC - SC DMA"
34009,"Philadelphia, PA - DE - NJ DMA"
33005,"Boston, MA - NH DMA"
27089,"Fargo - Valley City, ND - MN DMA"
51101,"Richmond - Petersburg, VA DMA"
08055,"Colorado Springs - Pueblo, CO DMA"
48255,"San Antonio, TX DMA"
47023,"Memphis, TN - AR- MS - MO DMA"
17171,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
49027,"Salt Lake City, UT - ID - WY DMA"
49029,"Salt Lake City, UT - ID - WY DMA"
48257,"Dallas - Ft. Worth, TX DMA"
04011,"Phoenix, AZ DMA"
04013,"Phoenix, AZ DMA"
26129,"Flint - Saginaw - Bay City, MI DMA"
47087,"Nashville, TN - KY DMA"
17159,"Terre Haute, IN - IL DMA"
01009,"Birmingham, AL DMA"
30051,"Great Falls, MT DMA"
48131,"Corpus Christi, TX DMA"
29173,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
48251,"Dallas - Ft. Worth, TX DMA"
13061,"Columbus, GA - AL DMA"
41023,"Boise, ID - OR DMA"
41011,"Eugene, OR DMA"
48159,"Tyler - Longview (Lufkin&Nacogdoches), TX DMA"
36113,"Albany - Schenectady - Troy, NY - MA - VT DMA"
51113,"Charlottesville, VA DMA"
40005,"Sherman - Ada, OK - TX DMA"
17129,"Champaign - Springfield - Decatur, IL DMA"
13015,"Atlanta, GA - AL - NC DMA"
12069,"Orlando - Daytona Beach - Melbourne, FL DMA"
40111,"Tulsa, OK - KS DMA"
38083,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
18049,"South Bend - Elkhart, IN - MI DMA"
20091,"Kansas City, MO - KS DMA"
24009,"Washington, DC - MD - PA - VA - WV DMA"
55129,"Duluth - Superior, MN - MI - WI DMA"
53031,"Seattle - Tacoma, WA DMA"
27169,"LaCrosse - Eau Claire, WI - MN DMA"
28149,"Jackson, MS DMA"
29003,"St. Joseph, MO - KS DMA"
29139,"Columbia - Jefferson City, MO DMA"
20021,"Joplin - Pittsburg, MO - KS - OK DMA"
37083,"Raleigh - Durham, NC - VA DMA"
35043,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
21051,"Lexington, KY DMA"
42035,"Wilkes Barre - Scranton, PA DMA"
41043,"Portland, OR - WA DMA"
55065,"Madison, WI DMA"
40147,"Tulsa, OK - KS DMA"
54077,"Pittsburgh, PA - MD- WV DMA"
55135,"Green Bay - Appleton, WI - MI DMA"
48137,"San Antonio, TX DMA"
41037,"Medford - Klamath Falls, OR - CA DMA"
29153,"Springfield, MO - AR DMA"
48473,"Houston, TX DMA"
01099,"Mobile, AL - Pensacola, FL - MS DMA"
50009,"Burlington, VT - Plattsburgh, NY DMA"
51111,"Richmond - Petersburg, VA DMA"
38097,"Fargo - Valley City, ND - MN DMA"
13139,"Atlanta, GA - AL - NC DMA"
13283,"Macon, GA DMA"
13037,"Albany, GA DMA"
55125,"Wausau - Rhinelander, WI DMA"
27007,"Minneapolis - St. Paul, MN - WI DMA"
24019,"Baltimore, MD DMA"
42037,"Wilkes Barre - Scranton, PA DMA"
39023,"Dayton, OH - IN DMA"
48323,"San Antonio, TX DMA"
04019,"Tucson (Nogales), AZ DMA"
35006,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
34005,"Philadelphia, PA - DE - NJ DMA"
50021,"Burlington, VT - Plattsburgh, NY DMA"
13099,"Dothan, AL - GA DMA"
25007,"Boston, MA - NH DMA"
38049,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
31179,"Sioux City, IA - NE - SD DMA"
38045,"Fargo - Valley City, ND - MN DMA"
16023,"Idaho Falls - Pocatello, ID - WY DMA"
33007,"Portland - Auburn, ME - NH - VT DMA"
38043,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
48273,"Corpus Christi, TX DMA"
18127,"Chicago, IL - IN DMA"
28101,"Meridian, MS - AL DMA"
37163,"Raleigh - Durham, NC - VA DMA"
47127,"Nashville, TN - KY DMA"
12103,"Tampa - St. Petersburg - Sarasota, FL DMA"
17065,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
05105,"Little Rock - Pine Bluff, AR DMA"
20023,"Wichita - Hutchinson Plus, KS - NE DMA"
08029,"Denver, CO - NE - NV - WY DMA"
19185,"Des Moines - Ames, IA - MO DMA"
48165,"Lubbock, TX DMA"
01093,"Birmingham, AL DMA"
37189,"Charlotte, NC - SC DMA"
51770,"Roanoke - Lynchburg, VA - WV DMA"
48317,"Odessa - Midland, TX DMA"
48037,"Shreveport, LA - AR - OK - TX DMA"
49057,"Salt Lake City, UT - ID - WY DMA"
29127,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
36045,"Watertown, NY DMA"
19097,"Davenport - Rock Island - Moline, IA - IL DMA"
38063,"Fargo - Valley City, ND - MN DMA"
36019,"Burlington, VT - Plattsburgh, NY DMA"
08045,"Denver, CO - NE - NV - WY DMA"
29177,"Kansas City, MO - KS DMA"
39073,"Columbus, OH DMA"
01085,"Montgomery, AL DMA"
13043,"Savannah, GA - SC DMA"
19113,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
06105,"Chico - Redding, CA DMA"
13215,"Columbus, GA - AL DMA"
28135,"Greenwood - Greenville, MS DMA"
20005,"Kansas City, MO - KS DMA"
48003,"Odessa - Midland, TX DMA"
39109,"Dayton, OH - IN DMA"
48375,"Amarillo, TX -NM - OK DMA"
40133,"Oklahoma City, OK DMA"
45003,"Augusta, GA - SC DMA"
06045,"San Francisco - Oakland - San Jose, CA DMA"
51550,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
56037,"Salt Lake City, UT - ID - WY DMA"
48169,"Lubbock, TX DMA"
54031,"Washington, DC - MD - PA - VA - WV DMA"
55089,"Milwaukee, WI DMA"
47163,"Tri - Cities, TN - VA - KY DMA"
45059,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
56011,"Rapid City, SD - MT - NE - WY DMA"
55117,"Milwaukee, WI DMA"
25013,"Springfield - Holyoke, MA DMA"
48055,"Austin, TX DMA"
20029,"Topeka, KS DMA"
06027,"Los Angeles, CA DMA"
01037,"Montgomery, AL DMA"
19059,"Sioux City, IA - NE - SD DMA"
21095,"Knoxville, TN - KY DMA"
20061,"Topeka, KS DMA"
42011,"Philadelphia, PA - DE - NJ DMA"
47019,"Tri - Cities, TN - VA - KY DMA"
27083,"Minneapolis - St. Paul, MN - WI DMA"
51037,"Roanoke - Lynchburg, VA - WV DMA"
47179,"Tri - Cities, TN - VA - KY DMA"
45071,"Columbia, SC DMA"
51093,"Norfolk - Portsmouth - Newport News, VA - NC DMA"
41069,"Portland, OR - WA DMA"
29023,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
22047,"Baton Rouge, LA - MS DMA"
28125,"Jackson, MS DMA"
51061,"Washington, DC - MD - PA - VA - WV DMA"
51750,"Roanoke - Lynchburg, VA - WV DMA"
32005,"Reno, NV - CA DMA"
12037,"Panama City, FL DMA"
18055,"Terre Haute, IN - IL DMA"
18139,"Indianapolis, IN DMA"
55131,"Milwaukee, WI DMA"
29105,"Springfield, MO - AR DMA"
42085,"Youngstown, OH - PA DMA"
05031,"Jonesboro, AR - MO DMA"
29195,"Kansas City, MO - KS DMA"
17193,"Evansville, IN - IL - KY DMA"
17039,"Champaign - Springfield - Decatur, IL DMA"
32033,"Salt Lake City, UT - ID - WY DMA"
27049,"Minneapolis - St. Paul, MN - WI DMA"
37173,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
12101,"Tampa - St. Petersburg - Sarasota, FL DMA"
12119,"Orlando - Daytona Beach - Melbourne, FL DMA"
36059,"New York, NY - CT - NJ - PA DMA"
38091,"Fargo - Valley City, ND - MN DMA"
18163,"Evansville, IN - IL - KY DMA"
29071,"St. Louis, MO - IL DMA"
37011,"Charlotte, NC - SC DMA"
54107,"Parkersburg, WV - OH DMA"
55007,"Duluth - Superior, MN - MI - WI DMA"
47161,"Nashville, TN - KY DMA"
55097,"Wausau - Rhinelander, WI DMA"
45063,"Columbia, SC DMA"
24003,"Baltimore, MD DMA"
55039,"Green Bay - Appleton, WI - MI DMA"
54101,"Clarksburg - Weston, WV DMA"
55061,"Green Bay - Appleton, WI - MI DMA"
48369,"Amarillo, TX -NM - OK DMA"
40151,"Oklahoma City, OK DMA"
21063,"Charleston - Huntington, WV - KY - OH DMA"
25003,"Albany - Schenectady - Troy, NY - MA - VT DMA"
29041,"Columbia - Jefferson City, MO DMA"
08103,"Denver, CO - NE - NV - WY DMA"
08087,"Denver, CO - NE - NV - WY DMA"
41045,"Boise, ID - OR DMA"
34023,"New York, NY - CT - NJ - PA DMA"
20167,"Wichita - Hutchinson Plus, KS - NE DMA"
17155,"Peoria - Bloomington, IL DMA"
46055,"Rapid City, SD - MT - NE - WY DMA"
47111,"Nashville, TN - KY DMA"
05023,"Little Rock - Pine Bluff, AR DMA"
01109,"Montgomery, AL DMA"
16003,"Boise, ID - OR DMA"
25005,"Providence, RI - New Bedford, MA DMA"
42107,"Wilkes Barre - Scranton, PA DMA"
38103,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
37045,"Charlotte, NC - SC DMA"
05059,"Little Rock - Pine Bluff, AR DMA"
24021,"Washington, DC - MD - PA - VA - WV DMA"
17169,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
06051,"Reno, NV - CA DMA"
06109,"Sacramento - Stockton - Modesto, CA DMA"
35013,"El Paso, TX - NM DMA"
13081,"Albany, GA DMA"
05027,"Shreveport, LA - AR - OK - TX DMA"
38039,"Fargo - Valley City, ND - MN DMA"
06095,"San Francisco - Oakland - San Jose, CA DMA"
19043,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
48449,"Shreveport, LA - AR - OK - TX DMA"
54027,"Washington, DC - MD - PA - VA - WV DMA"
37125,"Raleigh - Durham, NC - VA DMA"
20009,"Wichita - Hutchinson Plus, KS - NE DMA"
38087,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
22083,"Monroe - El Dorado, LA - AR DMA"
31071,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
22099,"Lafayette, LA DMA"
01119,"Meridian, MS - AL DMA"
01133,"Birmingham, AL DMA"
12117,"Orlando - Daytona Beach - Melbourne, FL DMA"
28035,"Hattiesburg - Laurel, MS DMA"
26065,"Lansing, MI DMA"
20177,"Topeka, KS DMA"
46061,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
27061,"Duluth - Superior, MN - MI - WI DMA"
08073,"Denver, CO - NE - NV - WY DMA"
36053,"Syracuse, NY DMA*"
36115,"Albany - Schenectady - Troy, NY - MA - VT DMA"
18081,"Indianapolis, IN DMA"
48445,"Lubbock, TX DMA"
35021,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
01121,"Birmingham, AL DMA"
55067,"Wausau - Rhinelander, WI DMA"
48155,"Wichita Falls & Lawton, TX - OK DMA"
19021,"Sioux City, IA - NE - SD DMA"
19129,"Omaha, NE - IA - MO DMA"
48385,"San Antonio, TX DMA"
39041,"Columbus, OH DMA"
37067,"Greensboro - H.Point - W.Salem, NC - VA DMA"
32510,"Reno, NV - CA DMA"
19049,"Des Moines - Ames, IA - MO DMA"
48065,"Amarillo, TX -NM - OK DMA"
13261,"Columbus, GA - AL DMA"
29223,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
45007,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
56007,"Denver, CO - NE - NV - WY DMA"
30093,"Butte - Bozeman, MT DMA"
17177,"Rockford, IL DMA"
26087,"Detroit, MI DMA"
22027,"Shreveport, LA - AR - OK - TX DMA"
28161,"Columbus - Tupelo - West Point, MS - AL DMA"
26079,"Traverse City - Cadillac, MI DMA"
22039,"Lafayette, LA DMA"
47069,"Memphis, TN - AR- MS - MO DMA"
04003,"Tucson (Nogales), AZ DMA"
35023,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
38023,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
06071,"Los Angeles, CA DMA"
08083,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
28023,"Meridian, MS - AL DMA"
19125,"Des Moines - Ames, IA - MO DMA"
31055,"Omaha, NE - IA - MO DMA"
51600,"Washington, DC - MD - PA - VA - WV DMA"
40057,"Oklahoma City, OK DMA"
29039,"Springfield, MO - AR DMA"
13059,"Atlanta, GA - AL - NC DMA"
16085,"Boise, ID - OR DMA"
48275,"Wichita Falls & Lawton, TX - OK DMA"
05103,"Little Rock - Pine Bluff, AR DMA"
39037,"Dayton, OH - IN DMA"
40071,"Oklahoma City, OK DMA"
46041,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
41057,"Portland, OR - WA DMA"
13077,"Atlanta, GA - AL - NC DMA"
28127,"Jackson, MS DMA"
28131,"Biloxi - Gulfport, MS DMA"
06013,"San Francisco - Oakland - San Jose, CA DMA"
47017,"Jackson, TN DMA"
51087,"Richmond - Petersburg, VA DMA"
18119,"Indianapolis, IN DMA"
36119,"New York, NY - CT - NJ - PA DMA"
29017,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
54047,"Bluefield - Beckley - Oak Hill, WV - VA DMA"
54033,"Clarksburg - Weston, WV DMA"
37077,"Raleigh - Durham, NC - VA DMA"
09009,"Hartford & New Haven, CT DMA"
31139,"Sioux City, IA - NE - SD DMA"
13023,"Macon, GA DMA"
13033,"Augusta, GA - SC DMA"
17181,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
17091,"Chicago, IL - IN DMA"
38051,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
31141,"Omaha, NE - IA - MO DMA"
37185,"Raleigh - Durham, NC - VA DMA"
13197,"Columbus, GA - AL DMA"
46027,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
10005,"Salisbury, MD - DE DMA"
13159,"Atlanta, GA - AL - NC DMA"
29175,"Columbia - Jefferson City, MO DMA"
20015,"Wichita - Hutchinson Plus, KS - NE DMA"
48209,"Austin, TX DMA"
48325,"San Antonio, TX DMA"
26105,"Traverse City - Cadillac, MI DMA"
45013,"Savannah, GA - SC DMA"
46135,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
55105,"Madison, WI DMA"
45077,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
53013,"Spokane, WA - ID - MT - OR DMA"
18023,"Indianapolis, IN DMA"
17027,"St. Louis, MO - IL DMA"
16067,"Twin Falls, ID DMA"
42113,"Wilkes Barre - Scranton, PA DMA"
28121,"Jackson, MS DMA"
48345,"Lubbock, TX DMA"
41039,"Eugene, OR DMA"
48485,"Wichita Falls & Lawton, TX - OK DMA"
26155,"Flint - Saginaw - Bay City, MI DMA"
20089,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
20123,"Wichita - Hutchinson Plus, KS - NE DMA"
12007,"Jacksonville, FL - Brunswick, GA DMA"
28091,"Hattiesburg - Laurel, MS DMA"
28039,"Biloxi - Gulfport, MS DMA"
17085,"Davenport - Rock Island - Moline, IA - IL DMA"
18059,"Indianapolis, IN DMA"
51620,"Roanoke - Lynchburg, VA - WV DMA"
48329,"Odessa - Midland, TX DMA"
20171,"Wichita - Hutchinson Plus, KS - NE DMA"
30013,"Great Falls, MT DMA"
51660,"Harrisonburg, VA - WV DMA"
17199,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
30029,"Missoula, MT DMA"
20189,"Wichita - Hutchinson Plus, KS - NE DMA"
21067,"Lexington, KY DMA"
21091,"Evansville, IN - IL - KY DMA"
46013,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
54001,"Clarksburg - Weston, WV DMA"
47181,"Huntsville - Decatur - Florence, AL - TN DMA"
31013,"Denver, CO - NE - NV - WY DMA"
42097,"Wilkes Barre - Scranton, PA DMA"
48469,"Victoria, TX DMA"
51530,"Roanoke - Lynchburg, VA - WV DMA"
26147,"Detroit, MI DMA"
31173,"Sioux City, IA - NE - SD DMA"
50015,"Burlington, VT - Plattsburgh, NY DMA"
51067,"Roanoke - Lynchburg, VA - WV DMA"
40011,"Oklahoma City, OK DMA"
53037,"Yakima - Pasco - Richland - Kennewick, WA - OR DMA"
18135,"Indianapolis, IN DMA"
49025,"Salt Lake City, UT - ID - WY DMA"
54093,"Clarksburg - Weston, WV DMA"
55023,"LaCrosse - Eau Claire, WI - MN DMA"
01071,"Huntsville - Decatur - Florence, AL - TN DMA"
19123,"Des Moines - Ames, IA - MO DMA"
20045,"Kansas City, MO - KS DMA"
21059,"Evansville, IN - IL - KY DMA"
21197,"Lexington, KY DMA"
29097,"Joplin - Pittsburg, MO - KS - OK DMA"
41061,"Portland, OR - WA DMA"
13151,"Atlanta, GA - AL - NC DMA"
38001,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
