geoid,tvdma
18099,"South Bend - Elkhart, IN - MI DMA"
31171,"North Platte, NE DMA"
38085,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
48127,"San Antonio, TX DMA"
27045,"Rochester - Mason City - Austin, MN - IA DMA"
45023,"Charlotte, NC - SC DMA"
27073,"Minneapolis - St. Paul, MN - WI DMA"
49005,"Salt Lake City, UT - ID - WY DMA"
55093,"Minneapolis - St. Paul, MN - WI DMA"
13049,"Jacksonville, FL - Brunswick, GA DMA"
13233,"Atlanta, GA - AL - NC DMA"
17113,"Peoria - Bloomington, IL DMA"
23001,"Portland - Auburn, ME - NH - VT DMA"
16055,"Spokane, WA - ID - MT - OR DMA"
32003,"Las Vegas, NV DMA"
20147,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
31089,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
29101,"Kansas City, MO - KS DMA"
55063,"LaCrosse - Eau Claire, WI - MN DMA"
22021,"Monroe - El Dorado, LA - AR DMA"
21061,"Bowling Green, KY DMA"
17005,"St. Louis, MO - IL DMA"
17009,"Quincy - Hannibal - Keokuk, MO - IL - IA DMA"
27085,"Minneapolis - St. Paul, MN - WI DMA"
55033,"Minneapolis - St. Paul, MN - WI DMA"
08027,"Denver, CO - NE - NV - WY DMA"
29123,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
48353,"Abilene - Sweetwater, TX DMA"
42127,"Wilkes Barre - Scranton, PA DMA"
36091,"Albany - Schenectady - Troy, NY - MA - VT DMA"
48041,"Waco - Temple - Bryan, TX DMA"
40095,"Sherman - Ada, OK - TX DMA"
24001,"Washington, DC - MD - PA - VA - WV DMA"
54103,"Wheeling - Steubenville, WV - OH DMA"
55053,"LaCrosse - Eau Claire, WI - MN DMA"
41007,"Portland, OR - WA DMA"
53041,"Seattle - Tacoma, WA DMA"
36003,"Buffalo, NY - PA DMA"
19031,"Cedar Rapids - Waterloo&Dubuque, IA - WI DMA"
18117,"Louisville, KY - IN DMA"
13089,"Atlanta, GA - AL - NC DMA"
13227,"Atlanta, GA - AL - NC DMA"
30015,"Great Falls, MT DMA"
31017,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
47013,"Knoxville, TN - KY DMA"
37069,"Raleigh - Durham, NC - VA DMA"
24510,"Baltimore, MD DMA"
20111,"Topeka, KS DMA"
19027,"Des Moines - Ames, IA - MO DMA"
22107,"Monroe - El Dorado, LA - AR DMA"
47123,"Knoxville, TN - KY DMA"
20075,"Wichita - Hutchinson Plus, KS - NE DMA"
19151,"Des Moines - Ames, IA - MO DMA"
16045,"Boise, ID - OR DMA"
05063,"Little Rock - Pine Bluff, AR DMA"
05085,"Little Rock - Pine Bluff, AR DMA"
18111,"Chicago, IL - IN DMA"
13119,"Greenville - Spartanburg, SC- Asheville - And., NC - GA  DMA"
12051,"Ft. Myers - Naples, FL DMA"
13265,"Augusta, GA - SC DMA"
48245,"Beaumont - Port Arthur, TX DMA"
30059,"Billings, MT - ID DMA"
08067,"Albuquerque - Santa Fe, NM - AZ - CO DMA"
48027,"Waco - Temple - Bryan, TX DMA"
28069,"Meridian, MS - AL DMA"
05019,"Little Rock - Pine Bluff, AR DMA"
41035,"Medford - Klamath Falls, OR - CA DMA"
36075,"Syracuse, NY DMA*"
01019,"Birmingham, AL DMA"
48019,"San Antonio, TX DMA"
30087,"Billings, MT - ID DMA"
35059,"Amarillo, TX -NM - OK DMA"
26153,"Marquette, MI DMA"
36111,"New York, NY - CT - NJ - PA DMA"
34007,"Philadelphia, PA - DE - NJ DMA"
17083,"St. Louis, MO - IL DMA"
51085,"Richmond - Petersburg, VA DMA"
20199,"Wichita - Hutchinson Plus, KS - NE DMA"
26003,"Marquette, MI DMA"
05049,"Springfield, MO - AR DMA"
48215,"Harlingen - Weslaco - Brownsville - McAllen, TX DMA"
37155,"Florence - Myrtle Beach, SC - NC DMA"
26123,"Grand Rapids - Kalamazoo - Battle Creek, MI DMA"
41049,"Yakima - Pasco - Richland - Kennewick, WA - OR DMA"
27153,"Minneapolis - St. Paul, MN - WI DMA"
05083,"Ft. Smith - Fay - Springdale - Rogers, AR - OK DMA"
37109,"Charlotte, NC - SC DMA"
05091,"Shreveport, LA - AR - OK - TX DMA"
12095,"Orlando - Daytona Beach - Melbourne, FL DMA"
08111,"Denver, CO - NE - NV - WY DMA"
16041,"Salt Lake City, UT - ID - WY DMA"
13045,"Atlanta, GA - AL - NC DMA"
20161,"Topeka, KS DMA"
48413,"San Angelo, TX DMA"
51167,"Tri - Cities, TN - VA - KY DMA"
37027,"Charlotte, NC - SC DMA"
16065,"Idaho Falls - Pocatello, ID - WY DMA"
18173,"Evansville, IN - IL - KY DMA"
21001,"Bowling Green, KY DMA"
21077,"Cincinnati, OH -IN - KY DMA"
21097,"Lexington, KY DMA"
23023,"Portland - Auburn, ME - NH - VT DMA"
30097,"Billings, MT - ID DMA"
48181,"Sherman - Ada, OK - TX DMA"
42059,"Pittsburgh, PA - MD- WV DMA"
02188,"Unmeasured, AK DMA"
20051,"Wichita - Hutchinson Plus, KS - NE DMA"
01065,"Birmingham, AL DMA"
01105,"Montgomery, AL DMA"
01033,"Huntsville - Decatur - Florence, AL - TN DMA"
20151,"Wichita - Hutchinson Plus, KS - NE DMA"
21017,"Lexington, KY DMA"
47149,"Nashville, TN - KY DMA"
13075,"Albany, GA DMA"
20101,"Wichita - Hutchinson Plus, KS - NE DMA"
40059,"Oklahoma City, OK DMA"
17147,"Champaign - Springfield - Decatur, IL DMA"
48107,"Lubbock, TX DMA"
01063,"Birmingham, AL DMA"
16033,"Idaho Falls - Pocatello, ID - WY DMA"
19109,"Des Moines - Ames, IA - MO DMA"
38013,"Minot - Bismarck - Dickinson, ND - MT - SD DMA"
37063,"Raleigh - Durham, NC - VA DMA"
19085,"Omaha, NE - IA - MO DMA"
31103,"Lincoln & Hastings - Kearney Plus, NE - KS DMA"
19187,"Des Moines - Ames, IA - MO DMA"
17151,"Paducah - Cape Giradeau - Harrisburg, KY - IL - MO - TN DMA"
47159,"Nashville, TN - KY DMA"
51089,"Roanoke - Lynchburg, VA - WV DMA"
51510,"Washington, DC - MD - PA - VA - WV DMA"
19101,"Ottumwa - Kirksville, IA - MO DMA"
30049,"Helena, MT DMA"
49013,"Salt Lake City, UT - ID - WY DMA"
40003,"Oklahoma City, OK DMA"
48119,"Dallas - Ft. Worth, TX DMA"
47169,"Nashville, TN - KY DMA"
21193,"Lexington, KY DMA"
46039,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
41029,"Medford - Klamath Falls, OR - CA DMA"
48507,"San Antonio, TX DMA"
31007,"Rapid City, SD - MT - NE - WY DMA"
19121,"Des Moines - Ames, IA - MO DMA"
12011,"Miami - Ft. Lauderdale, FL DMA"
13279,"Savannah, GA - SC DMA"
26151,"Detroit, MI DMA"
48397,"Dallas - Ft. Worth, TX DMA"
26163,"Detroit, MI DMA"
27105,"Sioux Falls (Mitchell), SD - IA - MN - NE DMA"
27001,"Duluth - Superior, MN - MI - WI DMA"
38071,"Fargo - Valley City, ND - MN DMA"
37145,"Raleigh - Durham, NC - VA DMA"
20195,"Wichita - Hutchinson Plus, KS - NE DMA"
28151,"Greenwood - Greenville, MS DMA"
48133,"Abilene - Sweetwater, TX DMA"
28055,"Jackson, MS DMA"
48123,"San Antonio, TX DMA"
48005,"Tyler - Longview (Lufkin&Nacogdoches), TX DMA"
45081,"Augusta, GA - SC DMA"
29125,"Columbia - Jefferson City, MO DMA"
05001,"Little Rock - Pine Bluff, AR DMA"
29109,"Springfield, MO - AR DMA"
51540,"Charlottesville, VA DMA"
