subscription_rate_plan_id,code,details,roam,cdma,network,lte,data_link,pooled,data_size,mou_size,mrc,per_mou_overage_fee,per_mb_overage_fee,sms_overage_fee,plan_start_date,plan_end_date
38,PWG101,130MRC_NoRoam_NoTether,0,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,,2023-12-21
38,PWG101,130MRC_NoRoam_NoTether,0,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
39,PWG102,130MRC_FreeRoam_Tether,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,,2023-12-21
39,PWG102,130MRC_FreeRoam_Tether,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
40,PWG103,500MRC_FreeRoam_Tether,1,0,3,1,1,1,750,,5,0.0063,0.0063,0.001,,2023-03-06
40,PWG103,500MRC_FreeRoam_Tether,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-03-07,2023-12-21
40,PWG103,500MRC_FreeRoam_Tether,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
41,PWG104,900MRC_FreeRoam_Tether,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,,2023-12-21
41,PWG104,900MRC_FreeRoam_Tether,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
42,PWG105,3000MRC_GlobalRoam_Tether_Employee_DL,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,,2023-12-21
42,PWG105,3000MRC_GlobalRoam_Tether_Employee_DL,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
43,PWG106,3000MRC_GlobalRoam_Tether_Employee_DL,1,0,3,1,0,1,1400,,9,0.0059,0.0059,0.001,,2023-12-21
43,PWG106,3000MRC_GlobalRoam_Tether_Employee_DL,1,0,3,1,0,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
44,PWG110,Browse Pass,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-04-20,2023-07-02
44,PWG110,Browse Pass,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2023-07-03,2023-12-21
44,PWG110,Browse Pass,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
45,PWG111,Stream Pass,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-04-20,2023-07-02
45,PWG111,Stream Pass,1,0,3,1,1,1,1400,,9,0.0059,0.0059,0.001,2023-07-03,2023-12-21
45,PWG111,Stream Pass,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
46,PWG120,500MB Weekly,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-04-20,2023-12-21
46,PWG120,500MB Weekly,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
47,PWG121,1GB Weekly,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-04-20,2023-12-21
47,PWG121,1GB Weekly,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,
48,PWG122,7GB Monthly,1,0,3,1,1,1,150,,1.3,0.007,0.007,0.001,2023-04-20,2023-06-21
48,PWG122,7GB Monthly,1,0,3,1,1,1,1400,,9,0.0055,0.0055,0.001,2023-06-22,2023-12-21
48,PWG122,7GB Monthly,1,0,3,1,1,1,350,350,2.25,0.0055,0.0055,0.001,2023-12-22,2024-09-10
48,PWG122,7GB Monthly,1,0,3,1,1,1,13000,13000,32.5,0.0045,0.0045,0.001,2024-09-11,
