CLIENT_TYPE,SKU,sku_validity_days,FEATURE,RENEWAL_PERIOD,SELLING_PRICE_USD,DEVELOPER_PROCEEDS_USD
TN_IOS_FREE,com.tinginteractive.usms.internationalcredit.twentydollars,0,International Credit - $20,,19.99,14
TN_IOS_FREE,com.tinginteractive.usms.premium.1.month,30,Ad Free+,monthly,2.99,2.1
TN_IOS_FREE,com.tinginteractive.usms.premium.1.year,365,Ad Free+,annually,29.99,21
2L_ANDROID,freecellularv1premium1monthsubscription,30,Ad Free+,monthly,9.99,
TN_ANDROID,freecellularv1premium1monthsubscription,30,Ad Free+,monthly,9.99,
TN_ANDROID,freecellularv1premium1yearsubscription,365,Ad Free+,annually,99.99,
TN_ANDROID,lock_number.1month.2.49,30,Lock In Number,monthly,2.49,
TN_ANDROID,lock_number.1month.3.49,30,Lock In Number,monthly,3.49,
TN_ANDROID,lock_number.1month.3.99,30,Lock In Number,monthly,3.99,
TN_ANDROID,lock_number.1month.4.99,30,Lock In Number,monthly,4.99,
TN_ANDROID,lock_number.1week.1.99,7,Lock In Number,weekly,1.99,
TN_ANDROID,lock_number.year.5,365,Lock In Number,annually,4.99,
TN_ANDROID,premium_number.year,365,Premium Number,annually,4.99,
2L_ANDROID,premium1monthsubscription,30,Ad Free+,monthly,2.99,
TN_ANDROID,premium1monthsubscription,30,Ad Free+,monthly,2.99,
2L_ANDROID,premium1monthsubscription_14dayfreetrial,44,Ad Free+,monthly,2.99,
TN_ANDROID,premium1monthsubscription_14dayfreetrial,44,Ad Free+,monthly,2.99,
2L_ANDROID,premium1monthsubscription_1monthintro,60,Ad Free+,monthly,2.99,
TN_ANDROID,premium1monthsubscription_1monthintro,60,Ad Free+,monthly,2.99,
TN_ANDROID,premium1monthsubscription_30dayfreetrial,60,Ad Free+,monthly,2.99,
2L_ANDROID,premium1monthsubscription_599,,Ad Free+,monthly,4.99,
2L_ANDROID,premium1monthsubscription_7dayfreetrial,37,Ad Free+,monthly,2.99,
TN_ANDROID,premium1monthsubscription_7dayfreetrial,37,Ad Free+,monthly,2.99,
TN_ANDROID,premium1yearsubscription,365,Ad Free+,annually,29.99,
2L_ANDROID,premium1yearsubscription_30dayfreetrial,395,Ad Free+,annually,29.99,
TN_ANDROID,premium1yearsubscription_30dayfreetrial,395,Ad Free+,annually,29.99,
2L_ANDROID,premium1yearsubscription_5999,,Ad Free+,annually,49.99,
2L_ANDROID,premium1yearsubscription2,365,Ad Free+,annually,29.99,
TN_ANDROID,pro_plan.1month,30,TEXT_NOW_PRO,monthly,10.99,
TN_ANDROID,premium_number.month,30,Premium Number,monthly,4.99,
TN_ANDROID,textnow_pro.1month,30,TextNow Pro,monthly,10.99,
TN_ANDROID,lock_number.1week.0.99,7,Lock In Number,weekly,0.99,
TN_ANDROID,adfreeplus.1week.4.99,7,Ad Free+,weekly,4.99,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.locknumber.1week.0.99,7,Lock In Number,weekly,0.99,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.premiumnumber.1month,30,Premium Number,monthly,4.99,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.adfreeplus.1week.2.99,7,Ad Free+,weekly,2.99,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.pro_plan.1week,7,TextNow Pro,weekly,,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.locknumber.1week.1.49,7,Lock In Number,weekly,1.49,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.adfreeplus.1week.3.99,7,Ad Free+,weekly,3.99,
TN_IOS_FREE,com.tinginteractive.usms.autorenew.adfreeplus.1week.5.99,7,Ad Free+,weekly,5.99,
TN_ANDROID,premium1weeksubscription_3dayfreetrial,7,Ad Free+,weekly,,
TN_ANDROID,premium1weeksubscription_v2,7,Ad Free+,weekly,,
