NETWORK_NAME,NETWORK_NAME_ROOT,NETWORK_SPEND_TYPE
adspostx,adspostx,Paid
jampp,jampp,Paid
mediamath,mediamath,Paid
Blisspoint,Blisspoint,Paid
BlissPointMedia - iOS,Blisspoint,Paid
Outbrain,Outbrain,Paid
Remerge,Remerge,Paid
Snapchat,Snapchat,Paid
TextNow Instagram,TextNow Instagram,Organic
TikTok SAN,Tiktok,Paid
TikTok-Liteup-Android,Tiktok,Paid
TikTok-Liteup-iOS,Tiktok,Paid
unknown,unknown,Paid
Zedge,Zedge,Paid
"TextNow Website Redesign (iOS, Android, Windows)","TextNow Website Redesign (iOS, Android, Windows)",Organic
Snagajob,Snagajob,Organic
Media Publication,Media Publication,Organic
AdColony,AdColony,Organic
web_banner_persistent_mobile,web_banner_persistent_mobile,Organic
OfferUp Inventory Swap,OfferUp Inventory Swap,Organic
OfferUp,OfferUp,Organic
Smart Banners - test_for_noa,Smart Banners - test_for_noa,Organic
YeahMobi,YeahMobi,Organic
ClickBooth,ClickBooth,Organic
B2B Events,B2B Events,Organic
Instal,Instal,Organic
BlissPointMedia - Android,Blisspoint,Paid
FeedMob 2024,FeedMob,Paid
Smadex_FED_CPP,Smadex,Paid
Google Ads (unknown),Google Ads,Paid
